测深(m)		垂深(m)		方位(°)	总位移(m)	固井质量	测井取样		
252		252		241.27		0.51		优		1
275		275		241.27		0.72		优		1
300		300		235.82		0.9		良		1
325		325		239.23		1.09		良		1
350		350		243.02		1.27		一般		1
375		375		245.25		1.48		一般		1
400		399.99		243.12		1.72		优		1
425		424.99		238.72		1.93		优		1
450		449.99		242.6		2.22		良		1
475		474.99		239.52		2.51		良		1
500		499.99		228.03		2.83		一般		0
525		524.99		237.27		3.21		一般		0
550		549.98		249.85		3.76		优		0
575		574.95		254.77		4.88		优		0
600		599.87		258.18		6.84		良		1
625		624.83		274.63		8.13		良		1
650		649.79		302.42		9.08		一般		1
675		674.79		344.37		9.14		一般		1
700		699.78		89.22		8.55		优		0
725		724.77		116.77		8.07		优		0
750		749.77		92.9		7.46		良		0
775		774.76		95.93		6.98		良		0
800		799.76		206.45		7.07		一般		0
825		824.76		206.45		7.17		一般		0
850		849.76		211.82		7.25		优		0
